"Activity ID","Name","Start","Finish","Duration","Trade/Area","Predicted Location","Predicted Trade Name"
"CON-1270","DCH1-FRP Footings-Pour #05-1 East","2025-11-07","2025-11-07","24","UNO3A > 05 > 04 > 02 > 2","DCH1","Concrete Pour"
"CON-1450","DCH1-FRP Footings-Pour #12-South","2025-11-07","2025-11-07","16","UNO3A > 05 > 04 > 02 > 2","DCH1","Concrete Pour"
"CON-1475","DCH1-FRP Footings-Pour #13-South","2025-11-07","2025-11-07","16","UNO3A > 05 > 04 > 02 > 2","DCH1","Concrete Pour"
"CON-1925","Decking & Detail-DCH1","2025-11-07","2025-11-07","184","UNO3A > 05 > 04 > 04","DCH1",""
"CON-2565","Decking & Detail-DCH2","2025-11-07","2025-11-07","192","UNO3A > 05 > 04 > 04","DCH2",""
"CON-1345","DCH1-Strip/Cure Footings-Pour #05-1 East","2025-11-07","2025-11-07","32","UNO3A > 05 > 04 > 02 > 2","DCH1","Concrete Pour"
"CON-1260","DCH1-Strip/Cure Footings-Pour #02-FSA East/West","2025-11-07","2025-11-07","32","UNO3A > 05 > 04 > 02 > 1","DCH1","Concrete Pour"
"CON-5570","EYD1-Set Equipment SSS1 A/B","2025-11-07","2025-11-07","80","UNO3A > 05 > 07 > 01 > 2","EYD1 Gen Yard",""
"CON-3045","DCH1-FRP Slab on Grade Pour 5","2025-11-07","2025-11-07","56","UNO3A > 05 > 04 > 05 > 03","DCH1","Concrete Pour"
"CON-3115","DCH1-FRP Slab on Grade Pour 7","2025-11-07","2025-11-07","48","UNO3A > 05 > 04 > 05 > 03","DCH1","Concrete Pour"
"CON-3165","DCH1-FRP Slab on Grade Pour 6","2025-11-07","2025-11-07","40","UNO3A > 05 > 04 > 05 > 03","DCH1","Concrete Pour"
"CON-3220","DCH1-FRP Slab on Grade Pour 8","2025-11-07","2025-11-07","48","UNO3A > 05 > 04 > 05 > 03","DCH1","Concrete Pour"
"CON-3355","DCH1-FRP Slab on Grade Pour 9","2025-11-07","2025-11-07","16","UNO3A > 05 > 04 > 05 > 03","DCH1","Concrete Pour"
"CON-3440","DCH1-FRP Slab on Grade Pour 11","2025-11-07","2025-11-07","32","UNO3A > 05 > 04 > 05 > 03","DCH1","Concrete Pour"
"CON-3540","DCH1-FRP Slab on Grade Pour 10","2025-11-07","2025-11-07","32","UNO3A > 05 > 04 > 05 > 03","DCH1","Concrete Pour"
"CON-3610","DCH1-FRP Slab on Grade Pour 12","2025-11-07","2025-11-07","48","UNO3A > 05 > 04 > 05 > 03","DCH1","Concrete Pour"
"CON-3680","DCH1-FRP Slab on Grade Pour 13","2025-11-07","2025-11-07","56","UNO3A > 05 > 04 > 05 > 03","DCH1","Concrete Pour"
"CON-3880","DCH2-FRP SOG #14","2025-11-07","2025-11-07","24","UNO3A > 05 > 04 > 05 > 04","DCH2",""
"CON-3975","DCH2-FRP SOG #16","2025-11-07","2025-11-07","32","UNO3A > 05 > 04 > 05 > 04","DCH2",""
"CON-4090","DCH2-FRP SOG #17","2025-11-07","2025-11-07","24","UNO3A > 05 > 04 > 05 > 04","DCH2",""
"CON-4205","DCH2-FRP SOG #19","2025-11-07","2025-11-07","16","UNO3A > 05 > 04 > 05 > 04","DCH2",""
"CON-4300","DCH2-FRP SOG #18","2025-11-07","2025-11-07","24","UNO3A > 05 > 04 > 05 > 04","DCH2",""
"CON-4440","DCH2-FRP SOG #20","2025-11-07","2025-11-07","16","UNO3A > 05 > 04 > 05 > 04","DCH2",""
"CON-4600","DCH2-FRP SOG #21","2025-11-07","2025-11-07","16","UNO3A > 05 > 04 > 05 > 04","DCH2",""
